VAARWATER;BENAM_COD;BENAMING;S57_ID;INBEDRIJF;Y_RD;X_RD;OBJ_SOORT;IALA_CAT;N_WGS_gms;E_WGS_gms;N_WGS_gm;E_WGS_gm;Obj_vorm_c;OBJ_VORM;Obj_kleur_c;OBJ_KLEUR;Kleurpatr_c;KLEURPATR;V_TT_c;TT_TOPTEK;TT_kleur_c;TT_KLEUR;TT_pat_c;TT_KLR_PAT;Sign_kar_c;SIGN_KAR;Sign_gr_c;SIGN_GROEP;SIGN_PERIO;RACON_CODE;Licht_kl_c;LICHT_KLR;OPGEHEVEN;X_WGS84;Y_WGS84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMER;VW-AM   -0106;A 11;#;21.01.2014; 413758,6490; 116740,2480;TK1200.1;3;51.42.40.59;004.50.01.05;51.42.6765;004.50.0175;1;spits;4;Groen;#;Niet toegewezen;1;Kegel, punt naar boven;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4,833625;51,711275;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMER;VW-AM   -0107;A 6;#;21.01.2014; 413927,5078; 115289,3254;TK1200.2;3;51.42.45.69;004.48.45.41;51.42.7615;004.48.7568;2;stomp;3;Rood;#;Niet toegewezen;5;Cilinder;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4,812614;51,712692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMSTERDAM-RIJNKANAAL;VW-ARK  -0101;AK 1-EH 2;#;01.01.2005; 0,0000; 0,0000;LK2600 MM.;3;52.22.21.74;004.57.17.07;52.22.3623;004.57.2845;3;bol;4,3;Groen/rood;1;Horizontaal;99;Kegel boven bol;4;Groen;#;Niet toegewezen;4;Q (quick-flashing);#;Niet toegewezen;#;#;4;Groen;#;4,954742;52,372706;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMSTERDAM-RIJNKANAAL;VW-ARK  -0106;PBS 1;1002;07.10.2013; 433524,7032; 159945,1116;TK1200.1;2;51.53.24.81;005.27.32.54;51.53.4135;005.27.5424;1;spits;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;7;Iso (isophased);#;Niet toegewezen;4;#;4;Groen;#;5,459039;51,890225;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMSTERDAM-RIJNKANAAL;VW-ARK  -0107;PBS 3;1002;07.10.2013; 433573,2931; 159953,2095;TK1200.1;2;51.53.26.38;005.27.32.97;51.53.4397;005.27.5495;1;spits;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;7;Iso (isophased);#;Niet toegewezen;6;#;4;Groen;#;5,459158;51,890661;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMSTERDAM-RIJNKANAAL;VW-ARK  -0108;PBS 5;1002;07.10.2013; 433620,1965; 159943,6403;TK1200.1;2;51.53.27.90;005.27.32.47;51.53.4650;005.27.5412;1;spits;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;7;Iso (isophased);#;Niet toegewezen;8;#;4;Groen;#;5,459019;51,891083;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANDELSE/AFGEDAMDE MAAS;VW-AS   -0101;AM 1;#;01.01.2005; 0,0000; 0,0000;TK1200.1;4;51.48.59.37;005.00.34.67;51.48.9895;005.00.5778;1;spits;4;Groen;#;Niet toegewezen;1;Kegel, punt naar boven;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5,009631;51,816492;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANDELSE/AFGEDAMDE MAAS;VW-AS   -0102;AM 2;#;01.01.2005; 0,0000; 0,0000;TK1200.2;4;51.49.03.10;005.00.35.96;51.49.0517;005.00.5993;2;stomp;3;Rood;#;Niet toegewezen;5;Cilinder;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5,009989;51,817528;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANDELSE/AFGEDAMDE MAAS;VW-AS   -0103;AM 3;#;01.01.2005; 0,0000; 0,0000;TK1200.1;4;51.48.46.69;005.00.36.05;51.48.7782;005.00.6008;1;spits;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5,010014;51,812969;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANDELSE/AFGEDAMDE MAAS;VW-AS   -0104;AM 4;#;01.01.2005; 0,0000; 0,0000;TK1200.2;4;51.48.47.23;005.00.39.79;51.48.7872;005.00.6632;2;stomp;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5,011053;51,813119;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANDELSE/AFGEDAMDE MAAS;VW-AS   -0105;AM 5;#;01.01.2005; 0,0000; 0,0000;TK1200.1;4;51.48.29.50;005.00.53.00;51.48.4917;005.00.8833;1;spits;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5,014722;51,808194;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANDELSE/AFGEDAMDE MAAS;VW-AS   -0106;AM 6;#;01.01.2005; 0,0000; 0,0000;TK1200.2;4;51.48.31.49;005.00.57.07;51.48.5248;005.00.9512;2;stomp;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5,015853;51,808747;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANDELSE/AFGEDAMDE MAAS;VW-AS   -0107;AM 7;#;01.01.2005; 0,0000; 0,0000;TK1200.1;4;51.48.12.60;005.01.29.57;51.48.2100;005.01.4928;1;spits;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5,024881;51,803500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANDELSE/AFGEDAMDE MAAS;VW-AS   -0108;AM 8;#;01.01.2005; 0,0000; 0,0000;TK1200.2;4;51.48.17.08;005.01.33.71;51.48.2847;005.01.5618;2;stomp;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5,026031;51,804744;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANDELSE/AFGEDAMDE MAAS;VW-AS   -0109;AM 9;#;01.01.2005; 0,0000; 0,0000;TK1200.1;4;51.47.59.99;005.02.24.24;51.47.9998;005.02.4040;1;spits;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5,040067;51,799997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANDELSE/AFGEDAMDE MAAS;VW-AS   -0110;AM 10;#;01.01.2005; 0,0000; 0,0000;TK1200.2;4;51.48.08.59;005.02.09.74;51.48.1432;005.02.1623;2;stomp;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5,036039;51,802386;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
